Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Durumu,Site İçerisinde,Banyo Sayısı,Fiyat Durumu,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Tapu Durumu,Eşya Durumu,Konum,Fiyat
80,2,6,6,1,0,1,2,3,0,85,0,7,3,0,11,3500000
110,6,1,4,1,2,0,1,3,0,130,2,5,1,0,4,3000000
110,6,1,4,1,2,0,1,3,0,130,2,5,1,0,4,3000000
110,2,3,4,1,2,1,1,3,0,120,5,5,4,0,9,2199000
130,10,3,4,1,2,1,2,3,0,150,5,3,4,0,11,2500000
120,6,1,5,1,2,1,1,3,0,135,5,6,3,0,11,1500000
110,6,4,4,1,2,1,1 ,3,0,120,3,4,5,0,2,850000
85,2,2,0,1,2,0,1,3,0,95,5,4,3,0,11,1260000
90,2,4,4,1,2,1,1 ,3,0,110,5,4,4,1,9,1450000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
70,0,-1,4,1,2,1,1 ,3,0,71,5,5,4,0,9,1090000
98,2,4,4,2,2,1,1 ,3,0,115,3,4,1,0,2,952000
100,2,3,4,1,2,1,2,3,0,110,4,5,1,0,0,2000000
145,10,3,8,1,0,1,2,3,0,192,0,4,4,0,9,3449000
50,2,1,4,1,2,1,1,3,0,60,8,4,4,1,6,1275000
50,0,2,4,1,2,1,1,3,0,60,8,4,3,0,6,1365000
79,2,1,4,1,2,1,1 ,3,0,80,3,4,4,1,9,890000
125,6,2,4,2,2,1,1 ,3,0,140,5,5,1,0,9,2250000
85,2,2,4,1,2,1,1 ,3,0,95,5,5,1,1,9,1489000
110,6,1,4,1,0,0,1,3,0,130,0,3,4,0,4,3250000
95,2,1,4,1,2,1,1,3,0,100,6,5,3,0,4,2050000
95,2,1,4,1,2,1,1,3,0,100,6,5,3,0,4,2050000
50,2,3,4,1,2,1,1 ,3,0,55,2,6,1,1,6,1350000
100,6,5,4,1,2,1,1,3,0,120,3,5,4,0,4,2150000
95,2,5,0,2,2,1,1,3,0,105,5,5,4,0,9,1600000
130,6,1,8,1,2,0,2,3,0,160,0,5,1,0,6,3250000
100,2,1,8,2,2,1,2 ,3,0,110,8,4,1,0,6,2850000
120,2,5,4,1,2,1,3 ,3,0,140,0,5,4,0,4,4195000
140,6,4,4,1,2,0,1,2,1,155,8,4,1,0,6,3650000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
135,10,3,4,1,2,1,2,3,0,150,8,3,4,0,9,1800000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
135,10,3,4,1,2,1,2,3,0,150,8,3,4,0,9,1800000
115,2,4,4,1,2,0,1,3,0,125,3,4,3,0,11,2450000
115,4,1,6,1,2,0,2,3,0,135,5,5,4,0,11,2550000
100,6,1,4,1,0,1,1,1,0,126,0,4,3,0,9,1750000
80,2,5,6,1,2,1,1 ,3,0,81,5,9,1,0,11,1150000
90,2,5,4,0,2,1,1,1,0,115,5,5,1,0,4,2450000
160,6,3,4,0,0,1,1,1,0,175,6,4,1,0,4,4250000
120,2,4,4,1,2,0,2,2,0,140,8,7,3,0,11,3570000
145,6,1,4,1,2,0,2,3,0,165,8,8,3,1,6,4350000
60,0,1,4,0,2,1,1 ,3,0,65,2,5,3,0,6,1150000
60,2,4,4,0,2,1,1,3,0,70,7,5,3,1,6,1730000
150,6,1,4,1,2,1,1,3,0,160,5,3,4,0,11,2299000
130,6,3,4,1,2,1,1,3,0,145,8,4,3,0,3,2550000
