İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Tipi,Takas,Yapı Durumu,Site İçerisinde,Banyo Sayısı,Balkon Sayısı,İpotek Durumu,Kira Getirisi,Fiyat Durumu, İlan Oluşturma Tarihi,Türü,Tipi,WC Metrekare,Aidat,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Balkon Metrekare,Banyo Metrekare,Yatırıma Uygunluk,Tapu Durumu,Eşya Durumu,Balkon Durumu,Balkon Tipi,Görüntülü Gezilebilir Mi?,WC Sayısı,Konum,Fiyat
14294650,25 Kasım 2023,Satılık,80 M2,2+1,6.Kat,Merkezi Doğalgaz,Krediye Uygun,Betonarme,Yok,Sıfır,Hayır,2,,Yok,,Genel Fiyat ,23 Kasım 2023,Konut,Daire,,,85 M2,0 (Yeni),7,Boş,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var ,,,, Yıldırım,3500000
14284983,24 Kasım 2023,Satılık,320 M2,6+1,9.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Evet,2 ,,,25000 TL,Genel Fiyat ,21 Kasım 2023,Konut,Daire,,200 TL,325 M2,5-10,10,Boş,,,,,,,,,, Yıldırım,5250000
14283696,21 Kasım 2023,Satılık,110 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Evet,1,2,,,Genel Fiyat ,21 Kasım 2023,Konut,Daire,,,130 M2,11-15,5,Boş,,,,,,Var,Açık Balkon ,,, Mudanya,3000000
14283696,21 Kasım 2023,Satılık,110 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Evet,1,2,,,Genel Fiyat ,21 Kasım 2023,Konut,Daire,,,130 M2,11-15,5,Boş,,,,,,Var,Açık Balkon ,,, Mudanya,3000000
14282795,21 Kasım 2023,Satılık,110 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1,,,,Genel Fiyat ,21 Kasım 2023,Konut,Daire,,,120 M2,21 Ve Üzeri,5,Boş,,,,Kat İrtifakı,,Var,,Hayır ,, Osmangazi,2199000
14280785,20 Kasım 2023,Satılık,130 M2,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,2,2 ,,10000 TL,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,100 TL,150 M2,21 Ve Üzeri,3,Kiracı Oturuyor,,,,Kat İrtifakı,,Var,,,, Yıldırım,2500000
14280632,20 Kasım 2023,Satılık,120 M2,3+1,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,1,,,12000 TL,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,150 TL,135 M2,21 Ve Üzeri,6,Boş,,,Yatırıma Uygun,Kat Mülkiyeti,,,,Evet ,2, Yıldırım,1500000
14275830,19 Kasım 2023,Satılık,110 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,120 M2,16-20,4,Boş,,,Bilinmiyor,Müstakil Tapulu,Boş,,,,, Karacabey,850000
14273961,24 Kasım 2023,Satılık,85 M2,2+1,2.Kat,Doğalgaz Sobalı,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,1,2,Yok,8000 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,95 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,,Hayır ,2, Yıldırım,1260000
14269990,20 Kasım 2023,Satılık,90 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,110 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,,Bilinmiyor,Kat İrtifakı,Eşyalı,,,,, Osmangazi,1450000
14184050,06 Kasım 2023,Satılık,95 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,,Genel Fiyat ,30 Ekim 2023,Konut,Daire,,,105 M2,11-15,3,Mülk Sahibi Oturuyor,,,,,,Var ,,,, Yıldırım,975000
