0,1,2,3,4,5,6,7,8,9,10
2150000,110 M2,5-10,5,Kiracı Oturuyor,04 Ocak 2023,Konut,100 M2,2+1,3.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
4610000,300 M2,5-10,3,Mülk Sahibi Oturuyor,04 Ocak 2023,Konut,250 M2,5+1,Bahçe Dublex,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1200000,120 M2,0 (Yeni),4,Boş,04 Ocak 2023,Konut,110 M2,3+1,Yüksek Giriş,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
800000,160 M2,16-20,6,Kiracı Oturuyor,28 Aralık 2022,Konut,125 M2,2+1,6.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1850000,155 M2,2,7,Mülk Sahibi Oturuyor,28 Haziran 2022,Konut,145 M2,3+1,3.Kat,Merkezi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
825000,85 M2,1,5,Boş,05 Ocak 2023,Konut,70 M2,1+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2400000,430 M2,5-10,4,Kiracı Oturuyor,05 Ocak 2023,Konut,200 M2,2+1,3.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
700000,100 M2,21 Ve Üzeri,5,Kiracı Oturuyor,05 Ocak 2023,Konut,90 M2,2+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
620000,110 M2,21 Ve Üzeri,4,Kiracı Oturuyor,04 Ocak 2023,Konut,100 M2,2.5+1,Bahçe Katı,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1200000,110 M2,0 (Yeni),3,Boş,04 Ocak 2023,Konut,100 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1900000,110 M2,5-10,8,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,90 M2,2+1,2.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1325000,110 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,90 M2,2+1,2.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2400000,430 M2,11-15,Kombi Doğalgaz,Krediye Uygun Değil,03 Ocak 2023,Konut,98 M2,2+1,4,Kiracı Oturuyor
0,1,2,3,4,5,6,7,8,9,10
580000,130 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,126 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
460000,100 M2,21 Ve Üzeri,4,Kiracı Oturuyor,03 Ocak 2023,Konut,95 M2,2+1,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
500000,150 M2,16-20,4,Boş,01 Ocak 2023,Konut,138 M2,3+1,4.Kat,Sobalı
0,1,2,3,4,5,6,7,8,9,10
1500000,160 M2,11-15,4,Kiracı Oturuyor,01 Ocak 2023,Konut,140 M2,4+1,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1528000,215 M2,3,4,Kiracı Oturuyor,31 Aralık 2022,Konut,195 M2,3+1,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
5000000,300 M2,16-20,2,Boş,31 Aralık 2022,Konut,280 M2,4+1,Bahçe Dublex,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
880000,75 M2,5-10,4,Boş,31 Aralık 2022,Konut,60 M2,1+1,2.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1700000,140 M2,4,4,Kiracı Oturuyor,30 Aralık 2022,Konut,125 M2,3+1,2.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1325000,105 M2,0 (Yeni),5,Boş,05 Ocak 2023,Konut,90 M2,2+1,3.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
5300000,225 M2,5-10,4,Boş,29 Aralık 2022,Konut,165 M2,4+2,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1490000,210 M2,0 (Yeni),3,Boş,28 Aralık 2022,Konut,160 M2,4+1,3.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1250000,150 M2,11-15,10,Mülk Sahibi Oturuyor,28 Aralık 2022,Konut,120 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
800000,135 M2,21 Ve Üzeri,4,Boş,28 Aralık 2022,Konut,120 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
900000,125 M2,21 Ve Üzeri,4,Boş,28 Aralık 2022,Konut,120 M2,3+1,2.Kat,Merkezi Kömür
0,1,2,3,4,5,6,7,8,9,10
2050000,75 M2,0 (Yeni),7,Boş,28 Aralık 2022,Konut,60 M2,1+1,7.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
1100000,130 M2,0 (Yeni),3,Boş,27 Aralık 2022,Konut,105 M2,2+1,3.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1249000,62 M2,5-10,3,Kiracı Oturuyor,24 Aralık 2022,Konut,48 M2,1+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2250000,180 M2,0 (Yeni),2,Boş,23 Aralık 2022,Konut,141 M2,3+1,Çatı Katı,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2150000,135 M2,5-10,6,Kiracı Oturuyor,23 Aralık 2022,Konut,125 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1200000,147 M2,21 Ve Üzeri,Kombi Doğalgaz,Bilinmiyor,27 Aralık 2022,Konut,105 M2,3+1,3,Kiracı Oturuyor
0,1,2,3,4,5,6,7,8,9,10
2790000,350 M2,5-10,7,Mülk Sahibi Oturuyor,27 Aralık 2022,Konut,280 M2,4+1,6.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
735000,105 M2,21 Ve Üzeri,4,Kiracı Oturuyor,27 Aralık 2022,Konut,90 M2,2+1,Yüksek Giriş,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
420000,65 M2,5-10,3,Mülk Sahibi Oturuyor,26 Aralık 2022,Konut,55 M2,1+1,2.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1950000,150 M2,3,15,Kiracı Oturuyor,26 Aralık 2022,Konut,125 M2,3+1,5.Kat,Merkezi (Pay Ölçer)
0,1,2,3,4,5,6,7,8,9,10
1620000,125 M2,0 (Yeni),6,Boş,26 Aralık 2022,Konut,95 M2,3+1,Yüksek Giriş,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2245000,178 M2,0 (Yeni),2,Boş,23 Aralık 2022,Konut,141 M2,3+1,Çatı Katı,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
4450000,230 M2,5-10,3,Kiracı Oturuyor,23 Aralık 2022,Konut,180 M2,4+1,Çatı Katı,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2275000,135 M2,5-10,5,Mülk Sahibi Oturuyor,23 Aralık 2022,Konut,120 M2,3+1,5.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
3375000,160 M2,16-20,7,Kiracı Oturuyor,23 Aralık 2022,Konut,140 M2,4+1,5.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1000000,90 M2,21 Ve Üzeri,3,Kiracı Oturuyor,23 Aralık 2022,Konut,83 M2,2+1,Müstakil.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2500000,100 M2,5-10,5,Boş,23 Aralık 2022,Konut,75 M2,2+1,2.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
2260000,179 M2,0 (Yeni),2,Boş,22 Aralık 2022,Konut,138 M2,3+1,Çatı Katı,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1750000,120 M2,0 (Yeni),6,Boş,22 Aralık 2022,Konut,100 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
6100000,180 M2,0 (Yeni),7,Boş,22 Aralık 2022,Konut,160 M2,3+1,5.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
4940000,120 M2,0 (Yeni),6,Boş,22 Aralık 2022,Konut,104 M2,2+1,2.Kat,Merkezi (Pay Ölçer)
0,1,2,3,4,5,6,7,8,9,10
595000,95 M2,21 Ve Üzeri,5,Kiracı Oturuyor,22 Aralık 2022,Konut,75 M2,2+1,5.Kat,Doğalgaz Sobalı
0,1,2,3,4,5,6,7,8,9,10
1300000,156 M2,3,5,Boş,21 Aralık 2022,Konut,150 M2,3+1,2.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2100000,135 M2,16-20,4,Kiracı Oturuyor,20 Aralık 2022,Konut,105 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
825000,100 M2,21 Ve Üzeri,4,Boş,19 Aralık 2022,Konut,99 M2,2+1,4.Kat,Sobalı
0,1,2,3,4,5,6,7,8,9,10
1100000,120 M2,21 Ve Üzeri,5,Kiracı Oturuyor,19 Aralık 2022,Konut,110 M2,2+1,Düz Giriş,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2500000,150 M2,11-15,6,Kiracı Oturuyor,17 Aralık 2022,Konut,125 M2,3+1,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1750000,100 M2,0 (Yeni),10,Boş,17 Aralık 2022,Konut,75 M2,2+1,8.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
540000,145 M2,21 Ve Üzeri,5,Boş,16 Aralık 2022,Konut,140 M2,3+1,Kot 1 (-1).Kat,Merkezi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2600000,160 M2,0 (Yeni),3,Boş,05 Aralık 2022,Konut,140 M2,3+1,2.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
5500000,355 M2,16-20,2,Mülk Sahibi Oturuyor,02 Aralık 2022,Konut,350 M2,2+1,Müstakil.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
475000,85 M2,16-20,4,Boş,29 Kasım 2022,Konut,80 M2,2+1,1.Kat,Merkezi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1150000,120 M2,21 Ve Üzeri,5,Boş,15 Aralık 2022,Konut,105 M2,2+1,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1310000,140 M2,16-20,5,Kiracı Oturuyor,13 Aralık 2022,Konut,120 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
3750000,370 M2,0 (Yeni),5,Boş,13 Aralık 2022,Konut,320 M2,6+1,Çatı Dubleks,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1850000,135 M2,0 (Yeni),6,Mülk Sahibi Oturuyor,13 Aralık 2022,Konut,107 M2,2+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1200000,170 M2,2,3,Kiracı Oturuyor,12 Aralık 2022,Konut,150 M2,2+1,3.Kat,Kombi Fueloil
0,1,2,3,4,5,6,7,8,9,10
475000,105 M2,16-20,5,Boş,08 Aralık 2022,Konut,100 M2,2+1,5.Kat,Isıtma Yok
0,1,2,3,4,5,6,7,8,9,10
1550000,125 M2,21 Ve Üzeri,9,Mülk Sahibi Oturuyor,28 Kasım 2022,Konut,120 M2,3+1,6.Kat,Merkezi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1720000,112 M2,5-10,3,Boş,24 Kasım 2022,Konut,90 M2,2+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
7150000,194 M2,3,6,Boş,23 Kasım 2022,Konut,160 M2,3+1,6.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
3600000,140 M2,21 Ve Üzeri,5,Kiracı Oturuyor,22 Kasım 2022,Konut,130 M2,3+2,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1410000,75 M2,0 (Yeni),6,Boş,18 Kasım 2022,Konut,52 M2,1+1,5.Kat,Merkezi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
650000,120 M2,21 Ve Üzeri,4,Kiracı Oturuyor,17 Kasım 2022,Konut,119 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1500000,120 M2,0 (Yeni),3,Boş,17 Kasım 2022,Konut,100 M2,2+1,Bahçe Katı,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1400000,330 M2,16-20,4,Mülk Sahibi Oturuyor,16 Kasım 2022,Konut,280 M2,5+2,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1650000,94 M2,21 Ve Üzeri,Kombi Doğalgaz,Krediye Uygun,14 Kasım 2022,Konut,92 M2,2+1,3,Kiracı Oturuyor
0,1,2,3,4,5,6,7,8,9,10
1400000,135 M2,16-20,5,Boş,12 Kasım 2022,Konut,125 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
850000,95 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,07 Kasım 2022,Konut,75 M2,2+1,4.Kat,Merkezi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
9850000,650 M2,11-15,3,Boş,07 Kasım 2022,Konut,450 M2,5+1,Düz Giriş,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2150000,150 M2,0 (Yeni),5,Boş,03 Kasım 2022,Konut,135 M2,3+1,3.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
2280000,150 M2,0 (Yeni),5,Boş,03 Kasım 2022,Konut,135 M2,3+1,5.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
2200000,150 M2,0 (Yeni),5,Boş,03 Kasım 2022,Konut,135 M2,3+1,4.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
2950000,125 M2,0 (Yeni),3,Boş,03 Kasım 2022,Konut,110 M2,3+1,2.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
2100000,145 M2,0 (Yeni),3,Boş,03 Kasım 2022,Konut,125 M2,2+1,3.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
5580000,150 M2,2,5,Mülk Sahibi Oturuyor,03 Kasım 2022,Konut,130 M2,3+1,3.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1320000,210 M2,11-15,4,Kiracı Oturuyor,03 Kasım 2022,Konut,175 M2,3+1,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
3200000,180 M2,5-10,8,Mülk Sahibi Oturuyor,03 Kasım 2022,Konut,160 M2,3+1,6.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
1600000,130 M2,0 (Yeni),9,Boş,03 Kasım 2022,Konut,110 M2,2+1,9.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
2120000,150 M2,4,2,Kiracı Oturuyor,24 Ekim 2022,Konut,116 M2,3+1,Bahçe Katı,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
590000,135 M2,16-20,4,Kiracı Oturuyor,24 Ekim 2022,Konut,130 M2,3+1,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2100000,220 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,22 Ekim 2022,Konut,210 M2,4+1,5.Kat,Merkezi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2450000,215 M2,0 (Yeni),9,Boş,03 Kasım 2022,Konut,175 M2,4+1,9.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
4250000,290 M2,5-10,5,Boş,02 Kasım 2022,Konut,282 M2,5+1,Çatı Dubleks,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1049000,90 M2,11-15,12,Boş,31 Ekim 2022,Konut,85 M2,2+1,Yüksek Giriş,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1750000,98 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,27 Ekim 2022,Konut,90 M2,5+2,Müstakil.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2600000,175 M2,4,6,Boş,26 Ekim 2022,Konut,168 M2,3+1,4.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
1690000,95 M2,0 (Yeni),6,Boş,25 Ekim 2022,Konut,66 M2,2+1,3.Kat,Merkezi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
4600000,445 M2,21 Ve Üzeri,3,Boş,22 Ekim 2022,Konut,170 M2,3+1,Villa Tipi,Klimalı
0,1,2,3,4,5,6,7,8,9,10
2600000,240 M2,11-15,4,Boş,19 Ekim 2022,Konut,220 M2,4+1,4.Kat,Merkezi (Pay Ölçer)
0,1,2,3,4,5,6,7,8,9,10
3500000,250 M2,4,4,Boş,18 Ekim 2022,Konut,220 M2,5+1,Kot 3 (-3).Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
3750000,145 M2,4,13,Kiracı Oturuyor,18 Ekim 2022,Konut,135 M2,3+1,10.Kat,Merkezi (Pay Ölçer)
0,1,2,3,4,5,6,7,8,9,10
2795000,206 M2,0 (Yeni),9,Boş,18 Ekim 2022,Konut,138 M2,3+1,5.Kat,Yerden Isıtma
0,1,2,3,4,5,6,7,8,9,10
1400000,150 M2,16-20,7,Mülk Sahibi Oturuyor,17 Ekim 2022,Konut,140 M2,3+1,6.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
2250000,160 M2,0 (Yeni),5,Boş,11 Ekim 2022,Konut,129 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
890000,140 M2,21 Ve Üzeri,3,Kiracı Oturuyor,09 Ekim 2022,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
950000,135 M2,21 Ve Üzeri,5,Kiracı Oturuyor,06 Ekim 2022,Konut,120 M2,3+1,4.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1350000,149 M2,5-10,3,Mülk Sahibi Oturuyor,05 Ekim 2022,Konut,135 M2,3+1,Kot 3 (-3).Kat,Kat Kaloriferi
0,1,2,3,4,5,6,7,8,9,10
3500000,200 M2,16-20,2,Mülk Sahibi Oturuyor,05 Ekim 2022,Konut,120 M2,4+2,Müstakil.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
410000,85 M2,21 Ve Üzeri,4,Kiracı Oturuyor,01 Ekim 2022,Konut,75 M2,2+1,Yüksek Giriş,Sobalı
0,1,2,3,4,5,6,7,8,9,10
1500000,120 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,30 Eylül 2022,Konut,110 M2,3+1,1.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1200000,125 M2,1,3,Boş,24 Eylül 2022,Konut,120 M2,3+1,2.Kat,Kombi Doğalgaz
0,1,2,3,4,5,6,7,8,9,10
1450000,280 M2,1,3,Boş,24 Eylül 2022,Konut,240 M2,4+1,3.Kat,Kombi Doğalgaz
