,Fiyat,Brüt Metrekare,yaş,bina_kat,Kullanım,tarih,tipi,Net Metrekare,oda sayısı,kaçıncı kat,ısıtma
0,2275000,135 M2,5-10,5,Mülk Sahibi Oturuyor,23 Aralık 2022,Konut,120 M2,3+1,5.Kat,Kombi Doğalgaz
2,1900000,110 M2,5-10,8,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,90 M2,2+1,2.Kat,Kombi Doğalgaz
4,1325000,110 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,90 M2,2+1,2.Kat,Kombi Doğalgaz
6,3375000,160 M2,16-20,7,Kiracı Oturuyor,23 Aralık 2022,Konut,140 M2,4+1,5.Kat,Kombi Doğalgaz
8,800000,160 M2,16-20,6,Kiracı Oturuyor,28 Aralık 2022,Konut,125 M2,2+1,6.Kat,Kombi Doğalgaz
10,1620000,125 M2,0 (Yeni),6,Boş,26 Aralık 2022,Konut,95 M2,3+1,Yüksek Giriş,Kombi Doğalgaz
12,2150000,110 M2,5-10,5,Kiracı Oturuyor,04 Ocak 2023,Konut,100 M2,2+1,3.Kat,Kombi Doğalgaz
14,2250000,180 M2,0 (Yeni),2,Boş,23 Aralık 2022,Konut,141 M2,3+1,Çatı Katı,Kombi Doğalgaz
16,580000,130 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,126 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz
18,11500000,300 M2,11-15,3,Boş,23 Aralık 2022,Konut,250 M2,3+2,Düz Giriş,Kombi Doğalgaz
20,1500000,160 M2,11-15,4,Kiracı Oturuyor,01 Ocak 2023,Konut,140 M2,4+1,4.Kat,Kombi Doğalgaz
22,1750000,120 M2,0 (Yeni),6,Boş,22 Aralık 2022,Konut,100 M2,3+1,1.Kat,Kombi Doğalgaz
24,5300000,225 M2,5-10,4,Boş,29 Aralık 2022,Konut,165 M2,4+2,4.Kat,Kombi Doğalgaz
26,825000,100 M2,21 Ve Üzeri,4,Boş,19 Aralık 2022,Konut,99 M2,2+1,4.Kat,Sobalı
28,1100000,130 M2,0 (Yeni),3,Boş,27 Aralık 2022,Konut,105 M2,2+1,3.Kat,Kombi Doğalgaz
30,1150000,120 M2,21 Ve Üzeri,5,Boş,15 Aralık 2022,Konut,105 M2,2+1,4.Kat,Kombi Doğalgaz
32,1050000,86 M2,0 (Yeni),3,Boş,17 Kasım 2022,Konut,78 M2,2+1,Bahçe Katı,Kombi Doğalgaz
34,2250000,160 M2,0 (Yeni),5,Boş,11 Ekim 2022,Konut,129 M2,3+1,1.Kat,Kombi Doğalgaz
36,650000,120 M2,21 Ve Üzeri,4,Kiracı Oturuyor,17 Kasım 2022,Konut,119 M2,3+1,1.Kat,Kombi Doğalgaz
38,950000,135 M2,21 Ve Üzeri,5,Kiracı Oturuyor,06 Ekim 2022,Konut,120 M2,3+1,4.Kat,Kombi Doğalgaz
40,2600000,160 M2,0 (Yeni),3,Boş,05 Aralık 2022,Konut,140 M2,3+1,2.Kat,Kombi Doğalgaz
42,4600000,445 M2,21 Ve Üzeri,3,Boş,22 Ekim 2022,Konut,170 M2,3+1,Villa Tipi,Klimalı
